state,switch,mode,margin,n,level,stat,p,pm
TX,no switch,crop discontinuation,user's accuracy,785479,state,median,0.892375974708641,0.8346068128452375
TX,no switch,crop discontinuation,producer's accuracy,785479,state,median,0.9052884330308433,0.8346068128452375
TX,no switch,crop introduction,user's accuracy,791058,state,median,0.8929080888061386,0.8346068128452375
TX,no switch,crop introduction,producer's accuracy,791058,state,median,0.9076822189574814,0.8346068128452375
TX,overall,crop discontinuation,user's accuracy,862416,state,median,0.885914149651861,0.8346068128452375
TX,overall,crop discontinuation,producer's accuracy,862416,state,median,0.8974096373900556,0.8346068128452375
TX,overall,crop introduction,user's accuracy,862416,state,median,0.8890007204282349,0.8346068128452375
TX,overall,crop introduction,producer's accuracy,862416,state,median,0.9027879205450313,0.8346068128452375
MT,switch,crop discontinuation,user's accuracy,59264,state,mean,0.8205715069331122,0.8349588772810482
MT,switch,crop discontinuation,producer's accuracy,59264,state,mean,0.764772359375769,0.8349588772810482
MT,switch,crop introduction,user's accuracy,112448,state,mean,0.8610142138326559,0.8349588772810482
MT,switch,crop introduction,producer's accuracy,112448,state,mean,0.8056494325822425,0.8349588772810482
MT,no switch,crop discontinuation,user's accuracy,544408,state,mean,0.8666210346022343,0.8349588772810482
MT,no switch,crop discontinuation,producer's accuracy,544408,state,mean,0.86826428637728,0.8349588772810482
MT,no switch,crop introduction,user's accuracy,491224,state,mean,0.8547391667658585,0.8349588772810482
MT,no switch,crop introduction,producer's accuracy,491224,state,mean,0.8666611551708361,0.8349588772810482
MT,overall,crop discontinuation,user's accuracy,603672,state,mean,0.7991576127745693,0.8349588772810482
MT,overall,crop discontinuation,producer's accuracy,603672,state,mean,0.8061174851774363,0.8349588772810482
MT,overall,crop introduction,user's accuracy,603672,state,mean,0.721413393595093,0.8349588772810482
MT,overall,crop introduction,producer's accuracy,603672,state,mean,0.7414276161435853,0.8349588772810482
MT,switch,crop discontinuation,user's accuracy,59264,state,median,0.8370050466626829,0.8349588772810482
